iter	RMSE
0	78967.57284
1	77100.26255
2	75412.98289
3	73401.22964
4	71601.92598
5	69979.07118
6	68378.28545
7	66752.21318
8	65241.61333
9	63764.88603
10	62458.64692
11	61116.91696
12	59840.22174
13	58555.74789
14	57351.11095
15	56174.56413
16	55089.54934
17	54037.79312
18	53083.2739
19	52005.37699
20	51016.42383
21	50012.27476
22	49068.21219
23	48155.55288
24	47263.69606
25	46375.78502
26	45607.08442
27	44805.53908
28	44071.01516
29	43241.71882
30	42601.3062
31	41910.27586
32	41289.52762
33	40631.24278
34	39947.95024
35	39346.0648
36	38813.67164
37	38301.72414
38	37782.5488
39	37235.8116
40	36797.77511
41	36420.45491
42	35929.70483
43	35467.86106
44	35080.87958
45	34605.40288
46	34175.37332
47	33796.53166
48	33362.76878
49	33001.02193
50	32661.10664
51	32239.94982
52	31890.43568
53	31532.19236
54	31135.51182
55	30817.82428
56	30452.16759
57	30153.67845
58	29877.46017
59	29576.61019
60	29329.0413
61	29085.54285
62	28870.93154
63	28566.48475
64	28319.31828
65	28104.70172
66	27911.66096
67	27674.89645
68	27385.0388
69	27204.27465
70	26962.08202
71	26779.80958
72	26602.09461
73	26396.46857
74	26171.7816
75	26027.36527
76	25869.17638
77	25730.81404
78	25590.6546
79	25411.69428
80	25247.89411
81	25071.19237
82	24953.62905
83	24776.31165
84	24642.63703
85	24536.87868
86	24388.15351
87	24270.94412
88	24140.33177
89	24012.0374
90	23903.19262
91	23763.55637
92	23672.70175
93	23537.37462
