iter	Passed	Remaining
0	1	3813
1	3	3380
2	4	3133
3	6	3000
4	7	2957
5	8	2883
6	10	2823
7	11	2806
8	12	2767
9	13	2737
10	15	2759
11	17	2850
12	18	2833
13	19	2797
14	21	2778
15	22	2774
16	24	2787
17	25	2780
18	26	2766
19	28	2742
20	29	2716
21	30	2706
22	33	2847
23	35	2884
24	36	2859
25	37	2838
26	39	2815
27	40	2808
28	41	2786
29	42	2769
30	43	2748
31	44	2730
32	46	2715
33	47	2709
34	48	2707
35	50	2701
36	51	2690
37	52	2681
38	53	2672
39	55	2665
40	56	2659
41	57	2652
42	58	2648
43	60	2640
44	61	2632
45	63	2669
46	65	2680
47	68	2740
48	69	2740
49	71	2742
50	72	2730
51	73	2717
52	74	2707
53	75	2697
54	77	2693
55	78	2691
56	81	2739
57	82	2729
58	83	2720
59	84	2711
60	86	2703
61	87	2692
62	88	2691
63	89	2683
64	91	2676
65	92	2678
66	93	2671
67	96	2712
68	98	2719
69	100	2727
70	101	2719
71	102	2710
72	103	2702
73	104	2694
74	106	2687
75	107	2691
76	108	2683
77	109	2674
78	112	2689
79	113	2689
80	115	2692
81	116	2687
82	117	2680
83	118	2673
84	120	2674
85	121	2669
86	123	2671
87	124	2665
88	125	2660
89	128	2700
90	131	2724
91	132	2718
92	134	2713
93	135	2707
